proj_id,display_name,policy_desc,aum,aum_year_ago,class_count,aum_growth_rate
M0876_2566,B-ASIATECH,ตราสารทุน,2803444907.2,243114758.28,1,10.531364558177986
M0877_2566,LHUS,ตราสารทุน,41506872.269999996,471607621.84,5,-0.9119885465208155
M0878_2566,KKP GC-UI FUND,อื่น ๆ,1559029124.23,2214460417.64,3,-0.29597787713383816
M0879_2568,DAOL-SILVER,ตราสารทุน,2388351264.83,0.0,1,
M0881_2554,LHMM,ตราสารหนี้,1812013979.48,1733614364.3,3,0.04522321503240212
M0881_2568,ASP-DAPP 3M5,ตราสารทุน,246737569.12,0.0,1,
M0882_2554,SCBCOMP,ทรัพย์สินทางเลือก,3134644303.86,100791493.17,1,30.10028639592581
M0884_2547,K-TREASURY,ตราสารหนี้,46773099014.29,32875108640.98,1,0.4227511618314672
M0884_2548,KTSS,ตราสารหนี้,44482852686.61,37399919643.56,1,0.18938364334880697
M0884_2568,LHAI,ตราสารทุน,1832490722.1599998,0.0,3,
M0885_2555,LHFLRMF,ผสม,258774924.6,237690645.81,1,0.08870470572432154
M0885_2567,LHTWGHD,ตราสารทุน,63322186.199999996,93897272.42999999,2,-0.3256227304450573
M0886_2555,KT-BOND RMF,ตราสารหนี้,124473465.14,122850779.09,1,0.013208593889430853
M0888_2555,PRINCIPAL iPROPRMF,ทรัพย์สินทางเลือก,1174090211.12,1091702275.48,1,0.07546740305526578
M0889_2550,TISCOCID,ตราสารทุน,79095505.33,95495162.19,1,-0.17173285519292336
M0890_2555,LHGOVRMF,ตราสารหนี้,604869055.85,694536062.37,1,-0.12910345679391333
M0899_2553,GLD,ทรัพย์สินทางเลือก,1272970533.72,671568786.89,1,0.8955177169788671
M0899_2568,PRINCIPAL PCREDITUI,อื่น ๆ,113181413.27,0.0,6,
M0900_2566,ASP-MAG7-AI,ตราสารทุน,157857775.02,395082222.66,1,-0.6004432344305978
M0901_2556,TISCOEU,ตราสารทุน,269145561.38,392124223.24,2,-0.31362169070777046
M0903_2568,KFSGB6M26,ตราสารหนี้,1798284048.79,0.0,1,
M0905_2553,ES-GOLDBULLION-UH,ทรัพย์สินทางเลือก,935203198.43,480966792.43,1,0.9444236341246148
M0906_2554,TBOND1Y,ตราสารหนี้,189672199.09,150749284.14,1,0.2581963501322668
M0907_2566,K-INDIARMF,ตราสารทุน,411095248.91,340435115.69,1,0.20755829808210247
M0909_2555,SCBGEQFUND,ตราสารทุน,571917607.49,727150486.47,4,-0.21348109073486043
M0909_2566,LHBLUESKY,ตราสารหนี้,157044514.59,167790450.43,2,-0.06404378683328626
M0910_2566,SCBMONEY,ตราสารหนี้,31735015671.510002,4991300620.33,4,5.358065379242142
M0912_2568,ES-GAINCOME-UH,ผสม,1300311265.25,0.0,7,
M0913_2554,ES-LOWBETA,ตราสารทุน,1000222161.2,964275508.38,1,0.037278404882844285
M0913_2568,KKP GC-USD-UI FUND,อื่น ๆ,2015969.52,0.0,4,
M0917_2568,MEGA10CHINAPOPRMF,ตราสารทุน,3516813.02,0.0,1,
M0920_2568,UGUSD6M11,ตราสารหนี้,6095012.88,0.0,1,
M0921_2568,UGUSD6M12,ตราสารหนี้,5560449.06,0.0,1,
M0922_2556,KFEURORMF,ตราสารทุน,394672934.44,397000479.24,1,-0.00586282617203826
M0925_2568,ASP-ACTFIX,ตราสารหนี้,198654671.07,0.0,1,
M0928_2556,KTFIX-1Y3Y,ตราสารหนี้,4236805299.28,4888872220.65,1,-0.13337777956555064
M0930_2556,UOBSJSM,ตราสารทุน,1165000138.43,974946394.27,1,0.19493763480432635
M0930_2567,TASIA,ตราสารทุน,511645051.3,64717525.16,1,6.905819173941973
M0931_2567,DAOL-DEFENSE,ตราสารทุน,1493487014.57,1303598731.31,1,0.1456646732612108
M0932_2554,SCBGLOWP,ผสม,170795023.36,53054042.4,1,2.2192650292751304
M0933_2547,MMM,ตราสารหนี้,1361560966.2,2185777436.46,2,-0.37708160790371636
M0933_2554,SCBRMGW,ผสม,88618232.48,72928488.66,1,0.2151387490442478
M0934_2547,B-TNTV,ตราสารหนี้,92903398406.85,92112302814.19,1,0.008588381448413118
M0935_2554,SCBRMGWP,ผสม,225589468.91,159369938.95,1,0.4155082846632414
M0936_2568,MEGA10CHINATECHRMF,ตราสารทุน,9520599.66,0.0,1,
M0939_2553,PRINCIPAL iPROP,ทรัพย์สินทางเลือก,13322525979.01,8801827030.73,6,0.5136091555192792
M0943_2554,ES-SET50DV2,ตราสารทุน,488897679.53,547644750.84,1,-0.10727222568990458
M0943_2555,B-SENIOR,ผสม,9485511998.46,7130663997.34,1,0.3302424573642011
M0948_2568,TLAWSRMF,ผสม,283520614.13,0.0,1,
M0952_2556,TISCONA,ตราสารทุน,82855052.09,64761963.95,1,0.27937831153435866
M0959_2567,FP CNGLOV,ตราสารทุน,26375181.16,0.0,1,
M0961_2568,X-QUANTUM,ตราสารทุน,24745714.04,0.0,1,
M0962_2555,KT-WCORP,ตราสารหนี้,154402064.86,193783893.46,1,-0.2032254997917513
M0962_2568,SCBGMLITE,ผสม,1667555962.84,0.0,4,
M0965_2550,ES-GLOBALENERGY,ตราสารทุน,161211458.12,127496125.09,1,0.2644420213257479
M0965_2567,KKP EWUS500-UH FUND,ตราสารทุน,679920023.1600001,1740535564.48,6,-0.6093616028103787
M0966_2568,KT-TECHNOLOGY RMF,ตราสารทุน,140347478.91,0.0,1,
M0970_2553,ES-GRMF,ตราสารหนี้,229586119.89,176552054.76,1,0.30038769700014556
M0970_2568,MAUTOCALL-H,ผสม,967308346.38,0.0,2,
M0972_2568,MAUTOCALL-UH,ผสม,782223946.12,0.0,2,
M0975_2568,DAOL-QUANTUM,ตราสารทุน,168465998.54,0.0,1,
M0976_2556,PRINCIPAL KEQ,ตราสารทุน,418666357.25,159538385.2,1,1.624235896114611
M0976_2567,TLGSELECT,ผสม,228878229.54,125210767.07,1,0.8279436736622174
M0980_2556,KT-EUROSM,ตราสารทุน,665326271.4,1045236355.25,1,-0.36346811124755896
M0983_2556,JSM,ตราสารทุน,285935492.24,227383976.8,1,0.2575006219171727
M0987_2567,ES-TECHRMF,ตราสารทุน,101170132.01,13990781.49,1,6.231199492488107
M0988_2568,TWORLD,ตราสารทุน,8120500194.67,0.0,1,
M0989_2555,ES-US500RMF,ตราสารทุน,2735269269.77,2136214751.94,1,0.2804280409008362
M0989_2567,MUSPIN-H,ตราสารทุน,121581876.71,221880640.48,2,-0.4520392745983658
M0990_2567,MUSPIN-UH,ตราสารทุน,318246585.71000004,557637892.2099999,2,-0.42929526462281353
M0991_2550,B25RMF,ผสม,3926101005.46,3997075204.31,1,-0.017756533270494645
M0991_2568,TWORLD-UH,ตราสารทุน,352135328.89,0.0,1,
M0992_2568,MGALL-RMF,ผสม,90674478.34,0.0,1,
M0994_2567,LHGSELECT,ตราสารทุน,155525580.76,35271653.779999994,3,3.409364577290881
M0994_2568,SCBUSDINC,ตราสารหนี้,10708132.23,0.0,1,
M0995_2567,PRINCIPAL GLEADER,ตราสารทุน,1774943950.36,1995188001.5900002,7,-0.11038761813647835
M0999_2568,A-RING,ตราสารทุน,1207173436.24,0.0,1,
M1002_2568,LHGDEFENSE,ตราสารทุน,105623797.52000001,0.0,3,
M1015_2567,KKP VIETNAM FUND,ตราสารทุน,611723127.75,15000000000.0,5,-0.95921845815
M1015_2568,MEGA10CYBERRMF,ตราสารทุน,7956253.11,0.0,1,
M1018_2568,M-HD,ตราสารทุน,191179246.45,0.0,1,
M1020_2567,SCBUSFOCUS,ตราสารทุน,14468440581.279999,9515172121.769999,7,0.5205653030886634
M1021_2567,SCBGMCORE,ผสม,134793691669.24,22734788674.710003,7,4.9289617158035615
M1021_2568,ONE-RAREEARTH,ตราสารทุน,1355320861.18,0.0,1,
M1024_2567,KT-WQUALITY,ตราสารทุน,470850480.39,4503813351.31,7,-0.8954551524092254
M1026_2568,X-DATACENEQ,ตราสารทุน,75338794.9,0.0,1,
M1027_2568,TLUS500RMF,ตราสารทุน,49950895.96,0.0,1,
